aX,aY,aZ,gX,gY,gZ
-0.082,0.047,0.977,1.953,-3.418,3.418
-0.050,0.110,0.976,1.892,-3.540,3.235
0.043,0.077,0.972,2.197,-3.540,3.174
0.005,0.014,0.974,2.258,-3.662,3.235
-0.088,0.050,0.982,2.197,-3.601,3.235
-0.046,0.109,0.983,2.197,-3.540,3.174
0.044,0.072,0.976,2.014,-3.357,3.113
0.001,0.014,0.974,1.953,-3.296,3.235
-0.086,0.053,0.980,1.953,-3.052,3.174
-0.042,0.112,0.978,2.075,-3.113,3.174
0.047,0.074,0.973,2.075,-3.296,3.296
0.004,0.015,0.973,2.258,-3.540,3.296
-0.087,0.051,0.980,2.319,-3.662,3.357
-0.047,0.110,0.979,2.319,-3.723,3.296
0.044,0.074,0.974,2.380,-3.662,3.296
0.003,0.013,0.973,2.197,-3.479,3.235
-0.087,0.051,0.981,1.953,-3.357,3.052
-0.044,0.108,0.977,1.953,-3.296,2.991
0.048,0.070,0.968,1.831,-3.235,3.113
-0.000,0.016,0.975,1.709,-2.991,3.174
-0.087,0.056,0.987,1.709,-3.357,3.296
-0.034,0.111,0.986,1.770,-3.723,3.296
0.047,0.068,0.977,2.197,-4.028,3.418
-0.010,0.015,0.973,2.075,-4.150,3.418
-0.094,0.063,0.974,2.258,-3.845,3.296
-0.027,0.111,0.971,2.441,-3.479,3.113
0.049,0.053,0.971,2.319,-3.113,3.113
-0.026,0.013,0.979,2.136,-2.930,3.296
-0.088,0.075,0.989,1.892,-3.052,3.052
-0.006,0.109,0.983,1.770,-3.357,3.052
0.049,0.044,0.974,1.892,-3.662,3.235
-0.042,0.019,0.973,1.770,-3.906,3.479
-0.091,0.087,0.976,2.014,-4.028,3.296
0.002,0.108,0.973,2.258,-3.662,3.174
0.043,0.037,0.972,2.319,-2.991,3.113
-0.049,0.019,0.980,2.380,-2.930,3.296
-0.083,0.087,0.986,2.441,-2.991,3.296
0.009,0.103,0.979,2.136,-3.235,3.174
0.044,0.036,0.972,2.075,-3.723,3.174
-0.049,0.019,0.975,1.892,-3.845,3.357
-0.088,0.086,0.979,2.014,-3.784,3.296
0.000,0.107,0.974,1.953,-3.418,3.052
0.044,0.044,0.973,1.892,-3.235,3.113
-0.039,0.017,0.978,1.892,-3.052,3.235
-0.089,0.078,0.983,1.953,-3.235,3.113
-0.011,0.111,0.978,1.892,-3.174,3.174
0.051,0.055,0.974,1.892,-3.296,3.235
-0.017,0.013,0.974,2.075,-3.357,3.296
-0.091,0.061,0.979,2.075,-3.418,3.296
-0.039,0.111,0.977,2.136,-3.479,3.174
0.044,0.072,0.972,2.014,-3.479,3.174
0.009,0.014,0.975,2.014,-3.357,3.235
-0.081,0.043,0.982,2.075,-3.357,3.235
-0.062,0.105,0.980,2.136,-3.479,3.113
0.031,0.091,0.974,1.953,-3.296,3.113
0.030,0.025,0.973,2.075,-3.357,3.235
-0.064,0.028,0.978,1.953,-3.540,3.235
-0.079,0.094,0.979,1.831,-3.479,3.235
0.012,0.102,0.975,2.197,-3.357,3.052
0.042,0.037,0.972,2.075,-3.296,3.113
-0.034,0.018,0.978,1.953,-3.235,3.296
-0.077,0.046,0.981,2.075,-3.357,3.296
-0.080,0.063,0.980,2.136,-3.479,3.235
-0.078,0.063,0.980,2.136,-3.357,3.296
-0.065,0.047,0.979,1.953,-3.540,3.296
-0.031,0.028,0.975,1.770,-3.662,3.235
0.018,0.040,0.974,2.014,-3.479,3.235
0.009,0.084,0.975,2.014,-3.479,3.357
-0.062,0.079,0.980,2.197,-3.357,3.235
-0.019,0.033,0.977,2.075,-3.357,3.052
0.008,0.079,0.976,2.136,-3.296,3.540
-0.065,0.064,0.979,2.197,-3.113,3.052
0.009,0.036,0.975,2.075,-3.540,2.991
0.010,0.084,0.975,2.014,-3.357,3.357
-0.051,0.093,0.978,2.136,-3.540,3.174
-0.074,0.059,0.979,2.197,-3.601,3.113
-0.047,0.032,0.978,2.258,-3.540,3.296
-0.016,0.023,0.977,2.197,-3.418,3.235
0.004,0.024,0.975,2.014,-3.235,3.235
0.016,0.027,0.974,2.075,-3.479,3.296
0.015,0.026,0.975,2.075,-3.235,3.296
0.009,0.023,0.974,1.953,-3.540,3.113
-0.007,0.020,0.976,1.953,-3.601,3.113
-0.033,0.021,0.976,1.831,-3.357,3.052
-0.062,0.032,0.978,1.892,-3.418,3.174
-0.084,0.058,0.980,1.770,-3.418,3.235
-0.076,0.090,0.980,1.953,-3.418,3.113
-0.032,0.109,0.978,1.953,-3.418,3.235
0.025,0.093,0.976,1.953,-3.479,3.296
0.045,0.047,0.974,2.075,-3.601,3.357
-0.003,0.016,0.976,1.953,-3.601,3.357
-0.072,0.036,0.980,2.136,-3.601,3.357
-0.082,0.090,0.980,2.136,-3.418,3.174
-0.010,0.108,0.977,2.258,-3.418,3.113
0.047,0.063,0.973,2.075,-3.418,3.235
0.005,0.016,0.974,2.014,-3.601,3.174
-0.077,0.040,0.979,1.953,-3.418,3.235
-0.070,0.100,0.981,2.075,-3.540,3.235
0.018,0.099,0.975,1.892,-3.540,3.174
0.041,0.035,0.974,1.892,-3.357,3.235
-0.047,0.019,0.977,2.014,-3.601,3.174
-0.088,0.082,0.980,1.953,-3.540,3.296
-0.003,0.108,0.977,2.075,-3.601,3.113
0.046,0.043,0.973,2.075,-3.418,3.174
-0.036,0.016,0.976,2.075,-3.418,3.357
-0.091,0.078,0.981,2.075,-3.357,3.235
-0.011,0.110,0.978,2.258,-3.540,3.235
0.049,0.051,0.973,2.014,-3.418,3.296
-0.024,0.015,0.976,2.014,-3.296,3.357
-0.090,0.069,0.981,2.014,-3.479,3.296
-0.026,0.111,0.978,2.014,-3.540,3.174
0.048,0.062,0.974,1.892,-3.540,3.174
-0.008,0.012,0.974,2.197,-3.540,3.296
-0.090,0.056,0.982,2.319,-3.540,3.235
-0.043,0.111,0.978,2.197,-3.296,3.174
0.044,0.074,0.973,2.075,-3.113,3.174
0.010,0.015,0.972,2.075,-3.113,3.296
-0.081,0.046,0.979,2.136,-3.235,3.174
-0.057,0.108,0.980,2.136,-3.479,3.174
0.036,0.087,0.974,1.953,-3.662,3.296
0.024,0.022,0.976,1.831,-3.784,3.296
-0.072,0.031,0.981,1.831,-3.357,3.296
-0.077,0.099,0.981,2.075,-3.418,3.235
0.018,0.098,0.977,2.197,-3.174,3.296
0.038,0.033,0.973,2.136,-3.113,3.174
-0.048,0.021,0.978,1.953,-2.991,3.235
-0.086,0.084,0.981,1.892,-3.235,3.235
-0.004,0.109,0.977,1.953,-3.357,3.052
0.049,0.052,0.972,1.892,-3.479,3.235
-0.020,0.014,0.974,2.136,-3.662,3.357
-0.091,0.063,0.980,2.197,-3.540,3.296
-0.037,0.110,0.980,2.075,-3.601,3.113
0.045,0.071,0.976,2.258,-3.357,3.052
0.008,0.015,0.976,2.319,-3.174,3.113
-0.079,0.041,0.981,2.014,-3.113,3.235
