aX,aY,aZ,gX,gY,gZ
-0.266,-0.073,1.225,63.293,-7.996,7.507
-0.257,-0.069,1.266,60.669,-12.512,8.484
-0.233,-0.067,1.282,52.979,-16.357,10.315
-0.200,-0.058,1.267,43.213,-19.043,8.850
-0.155,-0.032,1.243,34.912,-19.165,2.380
-0.107,-0.008,1.239,29.541,-18.311,-6.531
-0.067,-0.003,1.257,25.818,-18.311,-13.428
-0.062,0.009,1.270,21.667,-21.606,-16.174
-0.071,-0.012,1.269,15.076,-25.452,-14.587
0.021,0.000,1.220,4.211,-26.123,-10.803
0.034,-0.002,1.141,-9.705,-26.855,-8.789
0.001,-0.032,1.078,-22.827,-26.062,-9.888
-0.013,-0.019,1.034,-31.189,-23.682,-13.062
-0.017,0.001,1.003,-32.166,-22.339,-15.625
0.035,0.035,0.969,-31.799,-18.982,-22.949
0.048,0.070,0.908,-33.081,-14.038,-37.292
0.067,0.041,0.872,-25.024,-9.888,-37.842
0.065,-0.022,0.857,-16.113,-6.287,-33.142
0.057,-0.053,0.864,-14.038,-5.127,-33.142
0.047,-0.035,0.860,-14.282,-6.104,-31.250
0.037,-0.011,0.848,-11.902,-7.690,-25.208
0.038,-0.007,0.839,-6.531,-9.705,-18.250
0.036,-0.009,0.843,-0.305,-12.512,-12.268
0.027,-0.025,0.861,5.798,-15.503,-6.897
0.013,-0.029,0.875,9.094,-17.151,-2.319
0.017,-0.029,0.883,9.827,-17.700,0.488
0.010,-0.049,0.887,9.094,-18.982,2.991
-0.048,-0.041,0.862,8.423,-21.667,5.188
-0.151,-0.062,0.856,11.414,-22.339,4.761
-0.189,-0.085,0.877,17.883,-18.372,-1.038
-0.169,-0.120,0.894,22.705,-11.658,-8.240
-0.113,-0.151,0.917,23.560,-8.606,-13.000
-0.124,-0.131,0.891,20.386,-10.681,-10.864
-0.119,-0.125,0.895,20.264,-12.390,-3.662
-0.106,-0.126,0.923,23.804,-15.015,3.174
-0.097,-0.115,0.947,25.330,-17.639,8.850
-0.090,-0.097,0.979,24.109,-19.043,14.099
-0.094,-0.067,1.012,21.179,-19.531,18.250
-0.114,-0.038,1.027,17.334,-19.043,20.874
-0.126,-0.037,1.038,14.221,-17.212,21.790
-0.122,-0.045,1.055,10.620,-14.832,21.301
-0.121,-0.044,1.046,5.432,-13.306,19.897
-0.110,-0.042,1.041,-0.488,-11.719,18.616
-0.081,-0.029,1.022,-5.798,-9.766,17.639
-0.040,-0.016,0.995,-9.705,-7.751,17.334
-0.012,-0.020,0.966,-10.437,-6.836,18.311
0.004,-0.021,0.957,-8.179,-7.019,20.691
