aX,aY,aZ,gX,gY,gZ
-0.227,0.023,0.953,2.014,-3.418,3.235
-0.226,0.023,0.953,2.197,-3.479,3.235
-0.226,0.022,0.953,2.136,-3.296,3.235
-0.227,0.023,0.951,2.075,-3.296,3.174
-0.228,0.022,0.953,2.197,-3.540,3.052
-0.229,0.022,0.952,2.319,-3.662,3.174
-0.228,0.023,0.953,2.258,-3.662,3.174
-0.228,0.022,0.954,2.197,-3.418,3.113
-0.229,0.024,0.954,2.258,-3.235,3.113
-0.228,0.024,0.954,2.014,-3.296,3.052
-0.229,0.023,0.954,1.953,-3.540,3.296
-0.229,0.023,0.954,2.136,-3.601,3.235
-0.229,0.023,0.953,2.136,-3.479,3.174
-0.228,0.024,0.954,2.075,-3.418,3.174
-0.227,0.023,0.953,2.258,-3.357,3.296
-0.228,0.023,0.953,2.014,-3.296,3.296
-0.228,0.023,0.952,2.136,-3.357,3.113
-0.228,0.024,0.954,2.197,-3.479,3.174
-0.228,0.024,0.953,2.075,-3.479,3.113
-0.229,0.024,0.955,2.136,-3.479,3.113
-0.227,0.024,0.954,2.258,-3.479,3.235
-0.229,0.024,0.952,2.258,-3.540,3.235
-0.228,0.022,0.954,2.441,-3.540,3.235
-0.229,0.023,0.953,2.075,-3.235,3.235
-0.229,0.025,0.954,2.014,-3.174,3.052
-0.227,0.024,0.954,2.136,-3.296,3.174
-0.227,0.024,0.954,2.197,-3.662,3.174
-0.228,0.023,0.953,1.953,-3.662,3.296
-0.227,0.023,0.954,2.136,-3.357,3.174
-0.226,0.024,0.954,2.197,-3.540,3.174
-0.226,0.024,0.953,2.197,-3.357,3.113
-0.227,0.024,0.953,2.014,-3.479,3.174
-0.228,0.024,0.953,2.197,-3.479,3.174
-0.229,0.023,0.954,2.197,-3.296,3.174
-0.229,0.023,0.955,2.258,-3.296,3.052
-0.229,0.024,0.955,2.258,-3.540,3.174
-0.229,0.024,0.954,2.136,-3.418,3.235
-0.228,0.024,0.952,2.075,-3.479,3.174
-0.227,0.025,0.954,2.014,-3.357,3.113
-0.226,0.024,0.953,2.014,-3.174,3.113
-0.226,0.025,0.954,2.136,-3.418,3.174
-0.228,0.022,0.954,2.075,-3.601,3.296
-0.231,0.022,0.955,2.136,-3.296,3.235
-0.230,0.023,0.956,2.136,-3.357,3.296
-0.227,0.023,0.953,2.136,-3.418,3.235
-0.228,0.023,0.950,2.258,-3.479,3.174
-0.230,0.025,0.954,2.197,-3.479,3.174
-0.227,0.023,0.956,2.197,-3.418,3.235
-0.225,0.022,0.954,2.075,-3.357,3.174
-0.227,0.024,0.952,2.014,-3.418,3.052
-0.229,0.024,0.953,2.197,-3.540,3.113
-0.229,0.023,0.954,2.197,-3.418,3.235
-0.229,0.023,0.956,2.380,-3.296,3.052
-0.228,0.023,0.957,2.380,-3.296,3.174
-0.228,0.023,0.952,2.136,-3.235,3.174
-0.229,0.026,0.951,2.075,-3.479,3.235
-0.230,0.025,0.953,2.075,-3.418,3.174
-0.229,0.022,0.957,2.441,-3.479,3.174
-0.227,0.023,0.956,2.136,-3.174,3.113
-0.226,0.024,0.953,2.075,-3.418,3.052
-0.227,0.024,0.952,2.441,-3.479,3.052
-0.228,0.023,0.954,2.075,-3.418,3.235
-0.229,0.023,0.955,2.197,-3.357,3.235
-0.227,0.022,0.954,2.136,-3.418,3.296
-0.226,0.024,0.952,2.136,-3.479,3.235
-0.227,0.026,0.951,2.380,-3.662,3.235
-0.227,0.023,0.955,2.380,-3.601,3.235
-0.229,0.023,0.955,2.502,-3.479,3.174
-0.231,0.023,0.954,2.380,-3.418,3.052
-0.230,0.023,0.954,2.319,-3.357,3.113
-0.228,0.023,0.954,2.197,-3.418,3.174
-0.230,0.024,0.954,2.075,-3.418,3.235
-0.228,0.023,0.954,2.014,-3.357,3.235
-0.230,0.023,0.953,2.136,-3.479,3.235
-0.229,0.023,0.953,2.075,-3.540,3.235
-0.229,0.024,0.953,2.380,-3.540,3.235
